movie_title,movie_year,movie_rating,sex_nudity,violence_gore,language,movie_description
No Escape , 2015 , R ,4,8,6,"A man (Owen Wilson) takes his wife (Lake Bell) and two young daughters (Sterling Jerins and Claire Geare) overseas, where he thinks that his company is helping to provide clean drinking water to the denizens. Shortly after they arrive he realizes that the local people don't see their presence as positive and they must flee for their lives. Also with Pierce Brosnan, Thanawut Kasro, Chatchawai Kamonsakpitak and Sahajak Boonthanakit. Directed by John Erick Dowdle. Several lines of dialogue are spoken in a foreign language with no subtitles and a couple are in French and are translated into English. [1:43]"
No Good Deed , 2014 , PG-13 ,4,6,5,"A former prosecutor (Taraji P. Henson) and stay-at-home mom of two opens her door to a handsome stranger (Idris Elba) one stormy night when her negligent husband is away. The rain soaked stranger alleges car trouble, but ensuing events horrify and shock the family he meets. Also with Leslie Bibb, Kate del Castillo, Mark Smith, Henry Simmons and Wilbur Fitzgerald. Directed by Sam Miller. [1:24]"
No Man's Land , 2001 , R ,2,6,7,"Satire taking place during the Bosnian war: Two soldiers, a Bosnian and a Serb, are trapped in a trench right between their front lines. A fellow soldier, who seems dead, is also lying on the trench floor, right on top of a spring-loaded mine set to explode if he is moved. Unable to communicate with their respective command posts, the two soldiers must somehow escape their absurd predicament and get out of the trench without being killed by their own troops or the bomb. With Branko Djuric, Rene Bitorajac, Filip Sovagovic, Georges Siatidis, Serge-Henri Valcke, Simon Callow and Katrin Cartlidge. In Slovenian, French and English, with English subtitles. [1:37]"
Non-Stop , 2014 , PG-13 ,1,5,5,"A senior Air Marshal (Liam Neeson) is burned out on the job. However, when one day his transatlantic flight from New York to London is hijacked with demands of $150 million or the death of a passenger every 20 minutes, he goes into action. Also with Julianne Moore, Michelle Dockery, Anson Mount, Lupita Nyong'o and Scoot McNairy. Directed by Jaume Collet-Serra. A good portion of the dialogue appears in text messages shown on screen. [1:46]"
Norbit , 2007 , PG-13 ,5,4,4,"Eddie Murphy stars as Norbit, a man who has been bullied all of his life, starting as an orphan in a small town. Now he's an adult, but a mean and extremely overweight woman (also Murphy, using prosthetics) who once saved him from two bullies when he was a boy, forces him to have a relationship with her, despite the fact that his childhood sweetheart is moving back to town. Also with Thandie Newton, Cuba Gooding Jr., Eddie Griffin and Terry Crews. Directed by Brian Robbins. [1:42]"
No Reservations , 2007 , PG ,4,3,3,"A perfectionist chef (Catherine Zeta-Jones) is so paranoid she's unable to trust anyone and suspects everyone who might threaten her position. When her sister dies in a car accident and she is left to care for her young niece (Abigail Breslin) she struggles with the day-to-day complications of childcare and career, until a charming sous chef (Aaron Eckhart) is hired to help in her kitchen. Initial resistance gives way to love. Also with Patricia Clarkson and Jennifer Wade. Directed by Scott Hicks. [1:45]"
Norman , 2017 , R ,2,4,5,"A Jewish promoter (Richard Gere) befriends a rising Israeli politician (Lior Ashkenazi) by giving him a pair of impressively expensive shoes. When the man later becomes the Israeli prime minister, the American gains influence in the New York Jewish community, but cannot keep up with their demands. Also with Michael Sheen, Dan Stevens, Steve Buscemi, Hank Azaria, Josh Charles and Charlotte Gainsbourg. Directed by Joseph Cedar. Several lines of dialogue are in Hebrew with English subtitles and a few lines are in Hebrew or Yiddish without translation. [1:58]"
Norm of the North , 2016 , PG ,1,3,1,"Animated tale of a polar bear (voiced by Rob Schneider) that can speak to humans. He finds that this gift is very handy when he must defend his home against a greedy developer who is determined to build houses in the Arctic. Also with the voices of Heather Graham, Ken Jeong, Bill Nighy, Colm Meaney, Loretta Devine, Michael McElhatton, Maya Kay and Gabriel Iglesias. Directed by Trevor Wall. [1:26]"
North , 1994 , PG ,1,2,2,"A young boy becomes a free-agent looking for a new home, when he decides that his parents don't appreciate him enough."
North Country , 2005 , R ,7,5,6,"Charlize Theron stars as a woman who runs away from an abusive husband and to her family home. However, she's not welcomed by her father, who's still upset that she became pregnant when she was a teenager. Determined to make her own way, she gets a job at the nearby iron mine, only to realize that the men who work there, including her father, do not want to compete with women and can be extremely abusive. She refuses to quit and ends up suing the mine for sexual harassment. Also with Frances McDormand, Sissy Spacek, Woody Harrelson and Sean Bean. Directed by Niki Caro. [2:06]"
Northfork , 2003, PG-13 ,3,4,4,"It's 1955 and people in the small town of Northfork are being evacuated from their homes to make room for the construction of a dam. The film mixes scenes of trench-coat clad government agents hired to remove townspeople who won't leave and the sickbed dreams of an orphaned boy cared for by a priest. The dreams include fantastic creatures that may or may not be angels. With Mark Polish, James Woods, Nick Nolte, Anthony Edwards and Duel Farnes. Directed by Michael Polish. [1:34]"
Norwegian Wood , 2011 , NR ,8,4,5,Based on the Japanese novel by Haruki Murakami and set in 1960s Japan: a college student (Ken'ichi Matsuyama) recalls his life after his best friend (Kengo Kora) killed himself when they were teens. As he begins to grow close to his friend's former girlfriend (Rinko Kikuchi) he struggles with his feelings for another young woman. Also with Kiko Mizuhara and Tetsuji Tamayama. Directed by Anh Hung Tran. In Japanese with English subtitles. [2:13]
No Strings Attached , 2011 , R ,8,3,6,"Natalie Portman and Ashton Kutcher star as two friends who reconnect, and decide to make their sexual relationship strictly physical. But they discover that it isn't as easy as they thought it would be. Also with Kevin Kline, Cary Elwes, Greta Gerwig, Chris ""Ludacris"" Bridges and Mindy Kaling. Directed by Ivan Reitman. [1:50]"
Not Another Teen Movie , 2001 , R ,8,6,6,"Yet another teen movie, one that ostensibly pokes fun at other teen movies. The Cinderella story revolves around the efforts of a star football player to make a geeky, unpopular artist into a prom queen. He's doing it to win a bet, but predictably he becomes romantically ensnared. With Chyler Leigh, Jaime Pressly, Deon Richmond, Eric Jungmann and Josh Jacobson. [1:30]"
Not Easily Broken , 2009 , PG-13 ,4,5,4,"Morris Chestnut and Taraji P. Henson star as a married couple whose aspirations are along different paths: He was once an aspiring professional baseball player, and struggles with his new construction business, while she is a successful realtor; also, he would like to start a family, but she is focused on her career. Also with Cannon Jay, Eddie Cibrian, Kwame Boateng, Maeve Quinlan and Jenifer Lewis. Directed by Bill Duke. [1:39]"
The Notebook , 2004 , PG-13 ,6,4,4,"An elderly man (James Garner) reads passages from a notebook to an elderly woman (Gena Rowlands) who's suffering from dementia, trying to help her remember their life together. He relates how while young they were separated by World War II, then reunited 7 years later, after their paths diverged. Also with Sam Shepard, Meredith Zealy, Ryan Gosling and Rachel McAdams. Directed by Nick Cassavetes. [2:01]"
Notes on a Scandal , 2006 , R ,7,3,6,"A new teacher (Cate Blanchett) at an English high school becomes embroiled in an affair with one of her young students, and a colleague (Judi Dench) who discovers her secret, decides to use this information to insinuate herself into the woman's life. Also with Bill Nighy, Tom Georgeson, Michael Maloney and Joanna Scanlan. Directed by Richard Eyre. [1:31]"
Not Fade Away , 2012 , R ,6,3,8,"Several friends dream of becoming rock-and-roll stars in the 1960s. With John Magaro, Jack Huston, Will Brill, Dominique McElligott, Brahm Vaccarella, Gregory Perri, James Gandolfini, Bella Heathcote and Christopher McDonald. Directed by David Chase. [1:52]"
Nothing But the Truth , 2008 , R ,6,6,7,"A journalist (Kate Beckinsale) reveals a C.I.A. agent's identity and is imprisoned when she refuses to disclose her source. Also with Alan Alda, Vera Farmiga, Matt Dillon, David Schwimmer, Angela Bassett and Noah Wyle. Directed by Rod Lurie. [1:47]"
Nothing Like the Holidays , 2008 , PG-13 ,5,4,4,"All of the members of the Rodriguez family are coming home for the holidays: Returning from California and New York, and as far away as Iraq, each member comes with his or her own life struggles. With John Leguizamo, Freddy Rodriguez, Jay Hernandez, Melonie Diaz, Alfred Molina, Mercedes Ruehl, Luis Guzman, Vanessa Ferlito and Debra Messing. Directed by Alfredo De Villa. [1:39]"
Nothing to Lose , 1997 , R ,3,4,9,Tim Robbins and Martin Lawrence become buddies when Lawrence tries to carjack Robbins.
Notorious , 2009 , R ,8,6,10,"Biopic of Notorious B.I.G. (Jamal Woolard) whose music and lyrics resonated with everyday Brooklyn street life. When gunned down at the age of 24 he was one of the most important hip-hop artists. Also with Antonique Smith, Naturi Naughton, Angela Bassett, Derek Luke, Anthony Mackie. Directed by George Tillman Jr. [2:02]"
The Notorious Bettie Page , 2005 , R ,8,6,5,"Gretchen Mol stars as Bettie Page, who was the most popular pin-up girl of the 1950s. Having been brought up in a conservative religious family in Tennessee, she became a photo model, specializing in fetish poses that made her the target of a Senate investigation into pornography. Also with Lili Taylor, David Strathairn, Jonathan M. Woodward and Cara Seymour. Directed by Mary Harron. [1:31]"
Notting Hill , 1999 , PG-13 ,4,1,5,"An ultra-famous movie star (Julia Roberts) and an ordinary bookshop owner (Hugh Grant) fall in love despite their differences. Also with Hugh Bonneville, Emma Chambers, James Dreyfus, Rhys Ifans, Tim McInnerny, Gina McKee, Richard McCabe, Dylan Moran, Roger Frost, Julian Rhind-Tutt, Lorelei King and John Shrapnel. [2:03]"
The November Man , 2014 , R ,7,7,7,"A deadly clandestine agent (Pierce Brosnan) has retired until the CIA calls him to protect a key witness (Olga Kurylenko). He soon learns that he is the target of a former agency partner (Luke Bracey). Also with Eliza Taylor, Caterina Scorsone, Bill Smitrovich and Will Patton. Directed by Roger Donaldson. Some scenes contain Russian language with English subtitles and other dialogue is in Russian with no subtitles. [1:48]"
Novitiate , 2017 , R ,7,5,5,"In 1954 a seven-year-old girl raised by an agnostic single mother (Julianne Nicholson) is introduced to Catholicism and as a young woman (Margaret Qualley) wins a scholarship to a Catholic school and to her mother's dismay, enters a convent. Vatican II disrupts the lives of the nuns and the novice suffers as her faith is challenged by pain, loneliness and sexual urges. Also with Melissa Leo, Dianna Agron, Morgan Saylor, Ashley Bell and Liana Liberato. Directed by Margaret Betts. [2:03]"
Now and Then , 1995 , PG-13 ,2,3,4,A group of twelve-year-old girls make a promise to always be there for each other and as adults honor that pact when one has a baby.
Nowhere to Run , 1993 , R ,7,7,5,"Jean-Claude Van Damme is an escaped convict who comes to a pretty widow's (Rosanna Arquette) rescue and stays for dinner, shares her bed and becomes surrogate father to her two children."
Now You See Me , 2013 , PG-13 ,4,5,5,"The FBI and Interpol chase a notorious group called ""The Four Horsemen,"" a team of renowned illusionists (Jesse Eisenberg, Woody Harrelson, Dave Franco and Isla Fisher) who succeed in a series of heists against corrupt businessmen and then shower the stolen money on their audiences. Also with Melanie Laurent, Mark Ruffalo, Michael Caine and Morgan Freeman. Directed by Louis Leterrier. [1:55]"
Now You See Me 2 , 2016 , PG-13 ,1,5,4,"Notorious tricksters The Four Horsemen, from the first installment, re-surface and find themselves forced to undertake a heist that seems all but impossible. With Jesse Eisenberg, Mark Ruffalo, Woody Harrelson, Dave Franco, Daniel Radcliffe, Lizzy Caplan, Jay Chou, Sanaa Lathan, Michael Caine and Morgan Freeman. Directed by Jon M. Chu. [2:09]"
The Number 23 , 2007 , R ,7,8,6,"Jim Carrey stars as a bored animal control agent who receives a book entitled ""The Number 23: The Story of Obsession"" as a birthday gift. As he begins to read the book he notices many strange coincidences and similarities to his own life that make him suspect that the author somehow knows him and that the number 23 has significance in his life. He eventually becomes obsessed with finding the number 23 everywhere (the number of shoes in his closet, his address, his social security number, the bombing of Hiroshima, the Waco, Texas incident, the Oklahoma City bombing, etc.). Also with Virginia Madsen, Danny Huston, Rhona Mitra and Logan Lerman. Directed by Joel Schumacher. [1:35]"
Nurse Betty , 2000 , R ,6,8,10,"After her jerk of a husband is brutally murdered, a deluded Kansas waitress (Renee Zellweger) goes to Hollywood to meet the love of her life -- a character on a daytime television soap opera. Also with Morgan Freeman, Chris Rock, Greg Kinnear, Aaron Eckhart, Tia Texada, Crispin Glover, Pruitt Taylor Vince, Allison Janney, Kathleen Wilhoite, Harriet Sansom Harris and Laird Mackintosh. [1:49]"
The Nutcracker , 1993 , G ,1,1,0,Cinematic adaptation of the holiday classic with Macaulay Culkin as the Nutcracker Prince. He's assisted by the New York City ballet.
The Nut Job , 2014 , PG ,1,3,2,"A squirrel called Surly (voiced by Will Arnett) is banished by a raccoon (voiced by Liam Neeson) from a park to the city streets for being selfish. Not knowing exactly what to do to survive, Surly stumbles upon Maury's Nut Shop and with his rat pal Buddy (voiced by Eric Bauza) they plan to break in and steal all the nuts. Also with the voices of Brendan Fraser, Gabriel Iglesias, Jeff Dunham, Maya Rudolph and Katherine Heigl. Directed by Peter Lepeniotis. [1:26]"
The Nut Job 2: Nutty by Nature , 2017 , PG ,1,3,1,"When a greedy developer wants to take over a park and turn it into a profit making amusement park, the animals living there take matters into their own hands. With the voices of Will Arnett, Katherine Heigl, Maya Rudolph, Jackie Chan, Isabela Moner, Peter Stormare, Bobby Cannavale, Bobby Moynihan, Jeff Dunham and Gabriel Iglesias. Directed by Cal Brunker. [1:31]"
The Nutty Professor , 1996 , PG-13 ,2,3,6,Eddie Murphy plays obese Professor Klump and the man he becomes when he takes his own medicine -- slim but vulgar Buddy Love.
Nutty Professor II: The Klumps , 2000 , PG-13 ,7,5,6,"Eddie Murphy stars as both Sherman Klump and the whole Klump clan, in this sequel to the 1996 film. This time Sherman has a new potion and new love interest (Janet Jackson). With Larry Miller, John Ales, Anna Maria Horsford, Melinda McGraw, Jamal Mixon and Gabriel Williams. [1:50]"
