movie_title,movie_year,movie_rating,sex_nudity,violence_gore,language,movie_description
Jumper , 2008 , PG-13 ,4,6,5,"A teenager (Max Thieriot) struggling with an oppressive father and school bullies discovers that he has the power to teleport in an instant from one place to any other, regardless of distance. As a young man (Hayden Christensen) he also discovers that there's a secret society that's dedicated to hunting down and killing ""jumpers."" Also with Samuel L. Jackson, Jamie Bell, Diane Lane, Rachel Bilson, AnnaSophia Robb, Nathalie Cox (II), Barbara Garrick, Meredith Henderson, Tom Hulce and Michael Rooker Directed by Doug Liman. [1:28]"
Jumping the Broom , 2011 , PG-13 ,6,3,4,"When an uptown woman (Paula Patton) meets and falls in love with a downtown man (Laz Alonso), their whirlwind romance almost comes to a screeching halt, with their two families clashing at their Martha's Vineyard wedding. Also with Angela Bassett, Loretta Devine, Meagan Good, Tasha Smith, Julie Bowen, DeRay Davis, Valarie Pettiford, Mike Epps and Romeo. Directed by Salim Akil. [1:53]"
The Jungle Book , 1994 , PG ,1,3,1,"An adult, live-action version of Rudyard Kipling's classic."
The Jungle Book , 2016 , PG ,1,4,1,"Raised in India by a wolf pack, a young boy (Neel Sethi) leaves his jungle home when an evil tiger (voiced by Idris Elba) threatens to kill him. An authoritarian panther (voiced by Ben Kingsley) and a funny bear (voiced by Bill Murray) help the boy navigate the jungle as he encounters a hungry python, a gangster ape and destruction caused by humans. Also with the voices of Lupita Nyong'o, Giancarlo Esposito, Scarlett Johansson and Christopher Walken. Directed by Jon Favreau. [1:50]"
The Jungle Book 2 , 2003 , G ,1,2,0,"Mowgli (voiced by Haley Joel Osment), Baloo (voiced by John Goodman) and the rest of the jungle friends -- and their foes -- return for a look at how life would be for Mowgli in the human village. Since he was raised in the jungle, he finds it difficult to adjust, never feels like he fits in, and he eventually runs away and comes face to face with the menacing tiger Shere Khan. Also with the voices of Tony Jay, Phil Collins and Jim Cummings. [1:12]"
Jungle 2 Jungle , 1997 , PG ,2,2,1,Tim Allen meets the son he never knew he had and brings him to the wild jungle of New York City.
Junior , 1994 , PG-13 ,4,3,3,Arnold Schwarzenegger stars as a scientist who becomes pregnant by testing a drug he developed.
Juno , 2007 , PG-13 ,6,3,5,"A 16-year-old girl (Ellen Page), disillusioned by the breakdown of relationships she sees around, her decides to experiment by having sex with her best friend (Michael Cera). When she becomes pregnant she decides to carry the baby to term and have it adopted by an affluent couple (Jennifer Garner and Jason Bateman). But getting through each day becomes a challenge despite the support of her family. Also with Olivia Thirlby and Allison Janney. Directed by Jason Reitman. [1:31]"
Jupiter Ascending , 2015 , PG-13 ,4,6,4,"Sci-fi film about a housekeeper (Mila Kunis) on Earth, who learns from a planet-hopping warrior (Channing Tatum) that she is vital to universal life. She must journey beyond her solar system to meet her destiny and decide whether the status quo is worth maintaining. Also with Douglas Booth, Eddie Redmayne, Sean Bean, Gugu Mbatha-Raw and Tuppence Middleton. Directed by Andy and Lana Wachowski. There are several lines of Russian and extraterrestrial languages with English subtitles. [2:07]"
Jurassic Park , 1993 , PG-13 ,2,6,4,"A wealthy businessman (Richard Attenborough) creates ultimate theme park: an island that complete with genetically engineered dinosaurs. Three scientists (Sam Neill, Laura Dern and Jeff Goldblum) and two children (Ariana Richards and Joseph Mazzello) are invited to experience the park before the grand opening but the ancient lizards get loose and start dining on the visitors. Also with Samuel L. Jackson, BD Wong, Bob Peck and Wayne Knight. Directed by Steven Spielberg. [2:07]"
Jurassic Park III , 2001 , PG-13 ,1,8,2,"Sam Neill reprises his role from the first ""Jurassic Park"" film as a paleontologist who's willing to continue studying live dinosaurs despite an almost lethal and very close encounter. Desperate to fund research for a new theory about velociraptor intelligence, he accepts an invitation to a dinosaur island he's never visited before. Marooned with his group, they encounter pterodactyls and other new and quite deadly species of the revived reptiles and the opportunity arises for several disposable characters to get chewed up in sundry ways. Also with William H. Macy, Tea Leoni, Alessandro Nivola, Michael Jeter, Laura Dern, Trevor Morgan, Bruce A. Young, Mark Harelik and John Diehl. [1:32]"
Jurassic World , 2015 , PG-13 ,2,7,4,"In this fourth sequel a billionaire (Irrfan Kahn) opens a Costa Rican dinosaur park and pushes his staff to create bigger and scarier animals. Proud of a new hybrid, Indominus Rex, the owner is horrified when the creature escapes and hunts down park staff, guests, and other large reptiles. The park's dinosaur trainer (Chris Pratt) and manager (Bryce Dallas Howard) are charged with capturing the monster, while a band of mercenaries has other ideas. Also with Vincent D'Onofrio, Ty Simpkins, Nick Robinson, B.D. Wong and Omar Sy. Directed by Collin Trevorrow. [2:03]"
Jurassic World: Fallen Kingdom , 2018 , PG-13 ,1,7,4,"When the island from the 2015 installment of Jurassic World is threatened by a volcanic eruption and the remaining dinosaurs are threatened by imminent extinction once again, a rescue mission is planned. With Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith, Daniella Pineda, James Cromwell, Toby Jones, Ted Levine, Jeff Goldblum, BD Wong, Geraldine Chaplin and Isabella Sermon. Directed by J.A. Bayona. [2:08]"
The Juror , 1996 , R ,5,6,7,"Demi Moore and her son fear for their lives when she's called to jury duty on a Mafia don's case. Also with Alec Baldwin, Joseph Gordon-Levitt, Anne Heche, James Gandolfini, Lindsay Crouse, Tony Lo Bianco, Michael Constantine, Matt Craven, Michael Rispoli, Julie Halston, Frank Adonis, Matthew Cowles and Polly Adams. [1:58]"
Jury Duty , 1995 , PG-13 ,3,2,3,Judicial romp by Pauly Shore.
Just A Kiss , 2002 , R ,7,5,8,"Black comedy that follows three couples, Dag (Ron Eldard) and Hallie (Kyra Sedgewick), Pete (Patrick Breen) and Rebecca (Marley Shelton), Andre (Taye Diggs) and Colleen (Sarita Choudhury), and a single woman, Paula (Marisa Tomei), as they learn the hard way that a kiss is never just that and will inevitably lead to infidelity. [1:29]"
Just Cause , 1995 , R ,4,6,7,Sean Connery stars as a law professor defending a death row convict who's proclaiming his innocence.
Just Friends , 2005 , PG-13 ,6,5,5,"Ryan Reynolds stars as a man who suffered by being just a friend to a girl (Amy Smart) he was infatuated with in high school. When he unexpectedly visits his hometown and finds her working at the local bar, he is committed to stay out of the ""friend zone"" and to finally have a romantic relationship with her. He has competition though from the school nerd (Chris Klein) who also had a crush on her. Also with Anna Faris and Ty Olsson. Directed by Roger Kumble. [1:28]"
Just Getting Started , 2017 , PG-13 ,4,5,5,"A man (Morgan Freeman) in witness protection manages a retirement resort in Palm Springs until he is discovered by the mob he used to work for and his life is in danger. He enlists the help of a new friend (Tommy Lee Jones) to save him. Also with Glenne Headly, Rene Russo, Joe Pantoliano George Wallace, Sheryl Lee Ralph and Elizabeth Ashley. Directed by Ron Shelton. [1:31]"
Just Go With It , 2011 , PG-13 ,7,3,4,"After a plastic surgeon (Adam Sandler) is caught in a lie to impress a new girlfriend (Brooklyn Decker), he has his assistant (Jennifer Aniston) play along as his soon-to-be ex-wife, until she is caught in her own lie. There are more complications involving kids, a trip to Hawaii and someone posing as a German sheep-shipper. Also with Nicole Kidman, Nick Swardson, Bailee Madison, Dave Matthews and Kevin Nealon. Directed by Dennis Dugan. [1:50]"
Justice League , 2017 , PG-13 ,3,6,4,"When an evil power threatens the world's existence, Batman (Ben Affleck) and Wonder Woman (Gal Gadot) unite a league of super heroes that includes Aquaman (Jason Momoa), Cyborg (Ray Fisher) and the Flash (Ezra Miller) to save the planet. Also with Robin Wright, Connie Nielsen, Amy Adams, Amber Heard, Henry Cavill, Diane Lane and Jeremy Irons. Directed by Zack Snyder. A few lines of dialogue are spoken in Russian with English subtitles. [2:01]"
Justin Bieber: Never Say Never , 2011 , G ,2,1,1,"The film consists of footage of Justin Bieber in the ten days leading up to his sold-out concert at Madison Square Gardens and footage from his 2010 concert tour. Also with Boyz II Men, Miley Cyrus, Sean Kingston, Ludacris, Jaden Smith, Usher, Snoop Dogg and Scooter Braun. Directed by Jon Chu. [1:45]"
Just Like Heaven , 2005 , PG-13 ,4,4,4,"A grieving widower (Mark Ruffalo) sublets an apartment in San Francisco and devotes himself to drinking to oblivion. One night, when he has had a few too many, he sees a woman (Reese Witherspoon) in his apartment and she insists that it is really her apartment. She appears and disappears periodically and he quickly suspects that she is actually dead and it is her spirit that's visiting him. He agrees to help her find out who she was and why she's ethereal, but they start falling in love with each other. Also with Donal Logue, Dina Waters and Ben Shenkman. Directed by Mark S. Waters. [1:35]"
Just Married , 2003 , PG-13 ,5,4,4,"Ashton Kutcher and Brittany Murphy star as newlyweds whose perfect European honeymoon turns out to be a disaster. Hence they begin to wonder whether the marriage itself was really a bad idea, as many of their friends and family have insisted: not only are they very young, but she comes from a wealthy family and he's a part-time, fill-in, radio traffic reporter. Also with Christian Kane, Taran Killam and Monet Mazur. [1:35]"
Just My Luck , 2006 , PG-13 ,4,4,4,"Lindsey Lohan stars as a young woman who has been very lucky and successful all her life. One night however she transfers her luck to a young man (Chris Pine) she kisses at a costume party, and she's saddled with his rotten luck. Now she must find him and kiss him again before her charmed life becomes a complete mess. Also with Samaire Armstrong, Bree Turner and Faizon Love. Directed by Donald Petrie. [1:48]"
Just Visiting , 2001 , PG-13 ,2,4,3,"A 12th Century medieval nobleman and his servant are transported by a magic potion to modern-day Chicago. They must find a wizard to send them back in order to save his bride-to-be. With Jean Reno, Christian Clavier, Christina Applegate, Malcolm McDowell and Tara Reid. [1:28]"
Just Wright , 2010 , PG ,4,1,3,"A thirty-something, single woman (Queen Latifah) is frustrated by losing men to beautiful women who have little besides looks to share with them. While she advances in her career as a physical therapist and lands a job with an injured NBA star player (Common), she's convinced that eventually she'll meet the right man. Spending their time together during his recovery, they both realize that their feelings are more than professional, but his pretty ex-fiancée (Paula Patton) returns and that changes everything. Also with Michael Landes and Pam Grier. Directed by Sanaa Hamri. [1:51]"
Juwanna Mann , 2002 , PG-13 ,4,2,5,"A professional basketball player (Miguel Nunez, Jr.) is suspended indefinitely when his antics on the court get to be too much. While he waits for his reinstatement hearing, he puts on a dress, and finds another job, playing women's basketball. Unexpectedly, his new teammates are able to break through his ego and teach him a thing or two about his feminine side. Also with Vivica A. Fox, Kim Wayans, Tommy Davidson and Kevin Pollak. [1:31]"
